value;date
214;01.09.2024
208;02.09.2024
209;03.09.2024
232;04.09.2024
249;05.09.2024
242;06.09.2024
210;07.09.2024
204;08.09.2024
211;09.09.2024
238;10.09.2024
258;11.09.2024
279;12.09.2024
244;13.09.2024
257;14.09.2024
228;15.09.2024
216;16.09.2024
253;17.09.2024
242;18.09.2024
299;19.09.2024
289;20.09.2024
262;21.09.2024
228;22.09.2024
221;23.09.2024
236;24.09.2024
249;25.09.2024
290;26.09.2024
290;27.09.2024
262;28.09.2024
238;29.09.2024
221;30.09.2024
