value;date
2989;01.09.2024
2230;02.09.2024
2100;03.09.2024
2032;04.09.2024
2367;05.09.2024
3039;06.09.2024
3469;07.09.2024
3190;08.09.2024
1863;09.09.2024
1858;10.09.2024
2113;11.09.2024
2310;12.09.2024
2940;13.09.2024
3534;14.09.2024
3187;15.09.2024
2025;16.09.2024
1978;17.09.2024
2044;18.09.2024
2156;19.09.2024
2705;20.09.2024
3626;21.09.2024
2988;22.09.2024
1891;23.09.2024
2032;24.09.2024
1937;25.09.2024
2204;26.09.2024
2766;27.09.2024
3392;28.09.2024
2969;29.09.2024
2122;30.09.2024
