value;date
825;01.09.2024
237;02.09.2024
248;03.09.2024
299;04.09.2024
352;05.09.2024
331;06.09.2024
870;07.09.2024
839;08.09.2024
269;09.09.2024
309;10.09.2024
327;11.09.2024
317;12.09.2024
328;13.09.2024
860;14.09.2024
756;15.09.2024
290;16.09.2024
293;17.09.2024
355;18.09.2024
373;19.09.2024
353;20.09.2024
907;21.09.2024
871;22.09.2024
299;23.09.2024
322;24.09.2024
373;25.09.2024
271;26.09.2024
322;27.09.2024
850;28.09.2024
764;29.09.2024
274;30.09.2024
