value;date
634;01.08.2023
561;02.08.2023
578;03.08.2023
622;04.08.2023
961;05.08.2023
1028;06.08.2023
776;07.08.2023
687;08.08.2023
717;09.08.2023
645;10.08.2023
694;11.08.2023
948;12.08.2023
940;13.08.2023
581;14.08.2023
565;15.08.2023
625;16.08.2023
634;17.08.2023
686;18.08.2023
843;19.08.2023
899;20.08.2023
540;21.08.2023
562;22.08.2023
537;23.08.2023
598;24.08.2023
640;25.08.2023
962;26.08.2023
882;27.08.2023
610;28.08.2023
648;29.08.2023
678;30.08.2023
719;31.08.2023
